Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
00002;5901477300028;BALL LAMP PLASTIC;100;00002.jpg;Hermetic fixture;220-240V 50/60Hz;max 13 W;white;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;44;yes;0.5;2;yes;polycarbonate PC, ABS;;150;150;175;0;0;
00003;5901477300035;EMO E14 YELLOW;100;00003.jpg;Table lamp;220-240V 50/60Hz;max 40 W;yellow;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;265;180;180;0;0;
00004;5901477300042;EMO E14 WHITE;44;00004.jpg;Table lamp;220-240V 50/60Hz;max 40 W;white;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;265;180;180;0;0;
00005;5901477300059;EMO E14 RED;100;00005.jpg;Table lamp;220-240V 50/60Hz;max 40 W;red;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;265;180;180;0;0;
00006;5901477300066;EMO E14 BLACK;82;00006.jpg;Table lamp;220-240V 50/60Hz;max 40 W;black;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;265;180;180;0;0;
00007;5901477300073;PLUSO LED 18+1W NW;100;00007.jpg;Under-cupboard linear SMD LED fitting;230V 50Hz;18 W + 1 W;silver;;SMD LED, in set;no;no;4000;neutral white;1710 lm;120;>80;30000;no;no;20;no;0.3;2;yes;aluminium, polycarbonate PC;driver included, possibility of switching on 18W or 1W, or 18W+1W, ;30;600;43;0;0;
00008;5901477300080;REGAL LED 9W CHROME NW;100;00008.jpg;Decorative SMD LED fitting;230V 50Hz;9 W;chrome;;SMD LED, in set;no;no;4000;neutral white;585 lm;120;>80;30000;no;no;20;no;0.5;1;yes;stainless steel, acrylic glass;;45;420;70;0;0;
00009;5901477300097;REGAL LED 12W CHROME NW;100;00009.jpg;Decorative SMD LED fitting;230V 50Hz;12 W;chrome;;SMD LED, in set;no;no;4000;neutral white;780 lm;120;>80;30000;no;no;20;no;0.5;1;yes;stainless steel, acrylic glass;;45;520;70;0;0;
00010;5901477300103;RUMBA LED 9W CHROME NW;100;00010.jpg;Decorative SMD LED fitting;230V 50Hz;9 W;chrome/silver;;SMD LED, in set;no;no;4000;neutral white;585 lm;120;>80;30000;no;no;20;no;0.5;1;yes;stainless steel, acrylic glass;;50;405;75;0;0;
00011;5901477300110;RUMBA LED 12W CHROME NW;100;00011.jpg;Decorative SMD LED fitting;230V 50Hz;12 W;chrome/silver;;SMD LED, in set;no;no;4000;neutral white;780 lm;120;>80;30000;no;no;20;no;0.5;1;yes;stainless steel, acrylic glass;;50;500;75;0;0;
